*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Feb  6 2025 20:33:19
*************************************************
parsing config file: /home/wzz/Pythia/config/spp_dev2.ini

trace_0 /home/wzz/Pythia/traces/619.lbm_s-2676B.champsimtrace.xz
Heartbeat CPU  0 instructions:   36000000 cycles:   15033556 heartbeat IPC: 2.41363 cumulative IPC: 2.39464 (Simulation time: 0 hr 3 min 10 sec) 
Heartbeat CPU  0 instructions:   37000000 cycles:   15454337 heartbeat IPC: 2.37653 cumulative IPC: 2.39415 (Simulation time: 0 hr 3 min 16 sec) 
Heartbeat CPU  0 instructions:   38000001 cycles:   15863592 heartbeat IPC: 2.44347 cumulative IPC: 2.39542 (Simulation time: 0 hr 3 min 21 sec) 
Heartbeat CPU  0 instructions:   39000002 cycles:   16271796 heartbeat IPC: 2.44976 cumulative IPC: 2.39679 (Simulation time: 0 hr 3 min 26 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   16680709 heartbeat IPC: 2.44550 cumulative IPC: 2.39798 (Simulation time: 0 hr 3 min 31 sec) 

Warmup complete CPU  0 instructions:   40000001 cycles:   16680710 (Simulation time: 0 hr 3 min 31 sec) 

Heartbeat CPU  0 instructions:   41000001 cycles:   18986393 heartbeat IPC: 0.43371 cumulative IPC: 0.43371 (Simulation time: 0 hr 3 min 40 sec) 
Heartbeat CPU  0 instructions:   42000001 cycles:   21102173 heartbeat IPC: 0.47264 cumulative IPC: 0.45234 (Simulation time: 0 hr 3 min 49 sec) 
Heartbeat CPU  0 instructions:   43000002 cycles:   23519954 heartbeat IPC: 0.41360 cumulative IPC: 0.43865 (Simulation time: 0 hr 3 min 58 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   25523281 heartbeat IPC: 0.49917 cumulative IPC: 0.45236 (Simulation time: 0 hr 4 min 6 sec) 
Heartbeat CPU  0 instructions:   45000003 cycles:   27701143 heartbeat IPC: 0.45917 cumulative IPC: 0.45370 (Simulation time: 0 hr 4 min 14 sec) 
Heartbeat CPU  0 instructions:   46000000 cycles:   29654111 heartbeat IPC: 0.51204 cumulative IPC: 0.46248 (Simulation time: 0 hr 4 min 23 sec) 
Heartbeat CPU  0 instructions:   47000002 cycles:   32147028 heartbeat IPC: 0.40114 cumulative IPC: 0.45260 (Simulation time: 0 hr 4 min 32 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   34370144 heartbeat IPC: 0.44982 cumulative IPC: 0.45225 (Simulation time: 0 hr 4 min 41 sec) 
Heartbeat CPU  0 instructions:   49000002 cycles:   36389156 heartbeat IPC: 0.49529 cumulative IPC: 0.45666 (Simulation time: 0 hr 4 min 49 sec) 
Heartbeat CPU  0 instructions:   50000002 cycles:   38429960 heartbeat IPC: 0.49000 cumulative IPC: 0.45979 (Simulation time: 0 hr 4 min 57 sec) 
Heartbeat CPU  0 instructions:   51000000 cycles:   40470221 heartbeat IPC: 0.49013 cumulative IPC: 0.46239 (Simulation time: 0 hr 5 min 5 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   42461676 heartbeat IPC: 0.50215 cumulative IPC: 0.46546 (Simulation time: 0 hr 5 min 14 sec) 
Heartbeat CPU  0 instructions:   53000001 cycles:   44700690 heartbeat IPC: 0.44663 cumulative IPC: 0.46395 (Simulation time: 0 hr 5 min 22 sec) 
Heartbeat CPU  0 instructions:   54000003 cycles:   46918660 heartbeat IPC: 0.45086 cumulative IPC: 0.46299 (Simulation time: 0 hr 5 min 31 sec) 
Heartbeat CPU  0 instructions:   55000000 cycles:   49132383 heartbeat IPC: 0.45173 cumulative IPC: 0.46223 (Simulation time: 0 hr 5 min 40 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   51034002 heartbeat IPC: 0.52587 cumulative IPC: 0.46575 (Simulation time: 0 hr 5 min 48 sec) 
Heartbeat CPU  0 instructions:   57000003 cycles:   52855767 heartbeat IPC: 0.54892 cumulative IPC: 0.46994 (Simulation time: 0 hr 5 min 55 sec) 
Heartbeat CPU  0 instructions:   58000002 cycles:   55231641 heartbeat IPC: 0.42090 cumulative IPC: 0.46691 (Simulation time: 0 hr 6 min 4 sec) 
Heartbeat CPU  0 instructions:   59000003 cycles:   57195896 heartbeat IPC: 0.50910 cumulative IPC: 0.46896 (Simulation time: 0 hr 6 min 12 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   59178805 heartbeat IPC: 0.50431 cumulative IPC: 0.47061 (Simulation time: 0 hr 6 min 21 sec) 
Heartbeat CPU  0 instructions:   61000003 cycles:   61020674 heartbeat IPC: 0.54293 cumulative IPC: 0.47361 (Simulation time: 0 hr 6 min 29 sec) 
Heartbeat CPU  0 instructions:   62000001 cycles:   62981140 heartbeat IPC: 0.51008 cumulative IPC: 0.47516 (Simulation time: 0 hr 6 min 37 sec) 
Heartbeat CPU  0 instructions:   63000003 cycles:   64881017 heartbeat IPC: 0.52635 cumulative IPC: 0.47718 (Simulation time: 0 hr 6 min 45 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   67010834 heartbeat IPC: 0.46952 cumulative IPC: 0.47685 (Simulation time: 0 hr 6 min 53 sec) 
Heartbeat CPU  0 instructions:   65000003 cycles:   69062576 heartbeat IPC: 0.48739 cumulative IPC: 0.47726 (Simulation time: 0 hr 7 min 2 sec) 
Heartbeat CPU  0 instructions:   66000003 cycles:   70821775 heartbeat IPC: 0.56844 cumulative IPC: 0.48023 (Simulation time: 0 hr 7 min 10 sec) 
Heartbeat CPU  0 instructions:   67000002 cycles:   72784884 heartbeat IPC: 0.50940 cumulative IPC: 0.48125 (Simulation time: 0 hr 7 min 18 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   74572252 heartbeat IPC: 0.55948 cumulative IPC: 0.48366 (Simulation time: 0 hr 7 min 25 sec) 
Heartbeat CPU  0 instructions:   69000000 cycles:   76796196 heartbeat IPC: 0.44965 cumulative IPC: 0.48240 (Simulation time: 0 hr 7 min 34 sec) 
Heartbeat CPU  0 instructions:   70000000 cycles:   78932785 heartbeat IPC: 0.46804 cumulative IPC: 0.48191 (Simulation time: 0 hr 7 min 43 sec) 
Heartbeat CPU  0 instructions:   71000000 cycles:   80693901 heartbeat IPC: 0.56782 cumulative IPC: 0.48428 (Simulation time: 0 hr 7 min 50 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   82622821 heartbeat IPC: 0.51842 cumulative IPC: 0.48527 (Simulation time: 0 hr 7 min 59 sec) 
Heartbeat CPU  0 instructions:   73000000 cycles:   84412856 heartbeat IPC: 0.55865 cumulative IPC: 0.48721 (Simulation time: 0 hr 8 min 6 sec) 
Heartbeat CPU  0 instructions:   74000000 cycles:   86328216 heartbeat IPC: 0.52210 cumulative IPC: 0.48817 (Simulation time: 0 hr 8 min 14 sec) 
Heartbeat CPU  0 instructions:   75000001 cycles:   87861518 heartbeat IPC: 0.65219 cumulative IPC: 0.49171 (Simulation time: 0 hr 8 min 22 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   89933797 heartbeat IPC: 0.48256 cumulative IPC: 0.49145 (Simulation time: 0 hr 8 min 30 sec) 
Heartbeat CPU  0 instructions:   77000000 cycles:   91859666 heartbeat IPC: 0.51925 cumulative IPC: 0.49216 (Simulation time: 0 hr 8 min 38 sec) 
Heartbeat CPU  0 instructions:   78000002 cycles:   93751076 heartbeat IPC: 0.52871 cumulative IPC: 0.49306 (Simulation time: 0 hr 8 min 46 sec) 
Heartbeat CPU  0 instructions:   79000000 cycles:   95647806 heartbeat IPC: 0.52722 cumulative IPC: 0.49388 (Simulation time: 0 hr 8 min 54 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   97221106 heartbeat IPC: 0.63561 cumulative IPC: 0.49665 (Simulation time: 0 hr 9 min 1 sec) 
Heartbeat CPU  0 instructions:   81000003 cycles:   99026018 heartbeat IPC: 0.55405 cumulative IPC: 0.49790 (Simulation time: 0 hr 9 min 9 sec) 
Heartbeat CPU  0 instructions:   82000003 cycles:  101317518 heartbeat IPC: 0.43640 cumulative IPC: 0.49624 (Simulation time: 0 hr 9 min 18 sec) 
Heartbeat CPU  0 instructions:   83000001 cycles:  103019677 heartbeat IPC: 0.58749 cumulative IPC: 0.49804 (Simulation time: 0 hr 9 min 26 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:  104742889 heartbeat IPC: 0.58031 cumulative IPC: 0.49965 (Simulation time: 0 hr 9 min 33 sec) 
Heartbeat CPU  0 instructions:   85000000 cycles:  106445059 heartbeat IPC: 0.58749 cumulative IPC: 0.50131 (Simulation time: 0 hr 9 min 41 sec) 
Heartbeat CPU  0 instructions:   86000001 cycles:  108114295 heartbeat IPC: 0.59908 cumulative IPC: 0.50310 (Simulation time: 0 hr 9 min 49 sec) 
Heartbeat CPU  0 instructions:   87000003 cycles:  109750347 heartbeat IPC: 0.61123 cumulative IPC: 0.50500 (Simulation time: 0 hr 9 min 56 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:  111555541 heartbeat IPC: 0.55396 cumulative IPC: 0.50593 (Simulation time: 0 hr 10 min 4 sec) 
Heartbeat CPU  0 instructions:   89000003 cycles:  113491531 heartbeat IPC: 0.51653 cumulative IPC: 0.50614 (Simulation time: 0 hr 10 min 12 sec) 
Heartbeat CPU  0 instructions:   90000000 cycles:  115209799 heartbeat IPC: 0.58198 cumulative IPC: 0.50746 (Simulation time: 0 hr 10 min 20 sec) 
Heartbeat CPU  0 instructions:   91000001 cycles:  117025490 heartbeat IPC: 0.55076 cumulative IPC: 0.50825 (Simulation time: 0 hr 10 min 28 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:  118786175 heartbeat IPC: 0.56796 cumulative IPC: 0.50928 (Simulation time: 0 hr 10 min 35 sec) 
Heartbeat CPU  0 instructions:   93000000 cycles:  120277155 heartbeat IPC: 0.67070 cumulative IPC: 0.51160 (Simulation time: 0 hr 10 min 43 sec) 
Heartbeat CPU  0 instructions:   94000003 cycles:  122125437 heartbeat IPC: 0.54104 cumulative IPC: 0.51212 (Simulation time: 0 hr 10 min 51 sec) 
Heartbeat CPU  0 instructions:   95000003 cycles:  123919305 heartbeat IPC: 0.55745 cumulative IPC: 0.51288 (Simulation time: 0 hr 10 min 59 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:  125421262 heartbeat IPC: 0.66580 cumulative IPC: 0.51499 (Simulation time: 0 hr 11 min 6 sec) 
Heartbeat CPU  0 instructions:   97000002 cycles:  127188049 heartbeat IPC: 0.56600 cumulative IPC: 0.51580 (Simulation time: 0 hr 11 min 14 sec) 
Heartbeat CPU  0 instructions:   98000001 cycles:  128877218 heartbeat IPC: 0.59201 cumulative IPC: 0.51695 (Simulation time: 0 hr 11 min 21 sec) 
Heartbeat CPU  0 instructions:   99000001 cycles:  130316608 heartbeat IPC: 0.69474 cumulative IPC: 0.51920 (Simulation time: 0 hr 11 min 28 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:  131959445 heartbeat IPC: 0.60870 cumulative IPC: 0.52048 (Simulation time: 0 hr 11 min 36 sec) 
Heartbeat CPU  0 instructions:  101000000 cycles:  133751382 heartbeat IPC: 0.55806 cumulative IPC: 0.52105 (Simulation time: 0 hr 11 min 44 sec) 
Heartbeat CPU  0 instructions:  102000002 cycles:  135542787 heartbeat IPC: 0.55822 cumulative IPC: 0.52161 (Simulation time: 0 hr 11 min 51 sec) 
Heartbeat CPU  0 instructions:  103000001 cycles:  137085824 heartbeat IPC: 0.64807 cumulative IPC: 0.52323 (Simulation time: 0 hr 11 min 59 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:  138689002 heartbeat IPC: 0.62376 cumulative IPC: 0.52455 (Simulation time: 0 hr 12 min 6 sec) 
Heartbeat CPU  0 instructions:  105000003 cycles:  140380067 heartbeat IPC: 0.59135 cumulative IPC: 0.52547 (Simulation time: 0 hr 12 min 14 sec) 
Heartbeat CPU  0 instructions:  106000000 cycles:  142002720 heartbeat IPC: 0.61627 cumulative IPC: 0.52664 (Simulation time: 0 hr 12 min 21 sec) 
Heartbeat CPU  0 instructions:  107000003 cycles:  143615181 heartbeat IPC: 0.62017 cumulative IPC: 0.52783 (Simulation time: 0 hr 12 min 29 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:  145386491 heartbeat IPC: 0.56455 cumulative IPC: 0.52834 (Simulation time: 0 hr 12 min 36 sec) 
Heartbeat CPU  0 instructions:  109000000 cycles:  147143664 heartbeat IPC: 0.56910 cumulative IPC: 0.52889 (Simulation time: 0 hr 12 min 44 sec) 
Heartbeat CPU  0 instructions:  110000001 cycles:  148692445 heartbeat IPC: 0.64567 cumulative IPC: 0.53026 (Simulation time: 0 hr 12 min 51 sec) 
Heartbeat CPU  0 instructions:  111000000 cycles:  150205961 heartbeat IPC: 0.66071 cumulative IPC: 0.53173 (Simulation time: 0 hr 12 min 59 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:  151669710 heartbeat IPC: 0.68318 cumulative IPC: 0.53338 (Simulation time: 0 hr 13 min 6 sec) 
Heartbeat CPU  0 instructions:  113000001 cycles:  153262093 heartbeat IPC: 0.62799 cumulative IPC: 0.53448 (Simulation time: 0 hr 13 min 13 sec) 
Heartbeat CPU  0 instructions:  114000001 cycles:  154752724 heartbeat IPC: 0.67086 cumulative IPC: 0.53595 (Simulation time: 0 hr 13 min 20 sec) 
Heartbeat CPU  0 instructions:  115000003 cycles:  156333355 heartbeat IPC: 0.63266 cumulative IPC: 0.53705 (Simulation time: 0 hr 13 min 28 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:  158354982 heartbeat IPC: 0.49465 cumulative IPC: 0.53644 (Simulation time: 0 hr 13 min 36 sec) 
Heartbeat CPU  0 instructions:  117000003 cycles:  159844020 heartbeat IPC: 0.67158 cumulative IPC: 0.53785 (Simulation time: 0 hr 13 min 43 sec) 
Heartbeat CPU  0 instructions:  118000000 cycles:  161365172 heartbeat IPC: 0.65739 cumulative IPC: 0.53910 (Simulation time: 0 hr 13 min 50 sec) 
Heartbeat CPU  0 instructions:  119000003 cycles:  162944088 heartbeat IPC: 0.63335 cumulative IPC: 0.54012 (Simulation time: 0 hr 13 min 58 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:  164514329 heartbeat IPC: 0.63684 cumulative IPC: 0.54115 (Simulation time: 0 hr 14 min 5 sec) 
Heartbeat CPU  0 instructions:  121000003 cycles:  165889054 heartbeat IPC: 0.72742 cumulative IPC: 0.54287 (Simulation time: 0 hr 14 min 12 sec) 
Heartbeat CPU  0 instructions:  122000000 cycles:  167713810 heartbeat IPC: 0.54802 cumulative IPC: 0.54293 (Simulation time: 0 hr 14 min 20 sec) 
Heartbeat CPU  0 instructions:  123000001 cycles:  169454457 heartbeat IPC: 0.57450 cumulative IPC: 0.54329 (Simulation time: 0 hr 14 min 28 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:  170889886 heartbeat IPC: 0.69666 cumulative IPC: 0.54471 (Simulation time: 0 hr 14 min 35 sec) 
Heartbeat CPU  0 instructions:  125000000 cycles:  172349035 heartbeat IPC: 0.68533 cumulative IPC: 0.54603 (Simulation time: 0 hr 14 min 42 sec) 
Heartbeat CPU  0 instructions:  126000001 cycles:  173813231 heartbeat IPC: 0.68297 cumulative IPC: 0.54731 (Simulation time: 0 hr 14 min 49 sec) 
Heartbeat CPU  0 instructions:  127000000 cycles:  175289246 heartbeat IPC: 0.67750 cumulative IPC: 0.54852 (Simulation time: 0 hr 14 min 56 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:  176781393 heartbeat IPC: 0.67018 cumulative IPC: 0.54965 (Simulation time: 0 hr 15 min 4 sec) 
Heartbeat CPU  0 instructions:  129000000 cycles:  178236075 heartbeat IPC: 0.68744 cumulative IPC: 0.55089 (Simulation time: 0 hr 15 min 11 sec) 
Heartbeat CPU  0 instructions:  130000001 cycles:  179809399 heartbeat IPC: 0.63560 cumulative IPC: 0.55171 (Simulation time: 0 hr 15 min 18 sec) 
Heartbeat CPU  0 instructions:  131000001 cycles:  181572819 heartbeat IPC: 0.56708 cumulative IPC: 0.55188 (Simulation time: 0 hr 15 min 26 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:  182980295 heartbeat IPC: 0.71049 cumulative IPC: 0.55322 (Simulation time: 0 hr 15 min 33 sec) 
Heartbeat CPU  0 instructions:  133000001 cycles:  184355221 heartbeat IPC: 0.72731 cumulative IPC: 0.55465 (Simulation time: 0 hr 15 min 40 sec) 
Heartbeat CPU  0 instructions:  134000000 cycles:  185796695 heartbeat IPC: 0.69373 cumulative IPC: 0.55583 (Simulation time: 0 hr 15 min 47 sec) 
Heartbeat CPU  0 instructions:  135000002 cycles:  187429953 heartbeat IPC: 0.61227 cumulative IPC: 0.55637 (Simulation time: 0 hr 15 min 54 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:  188867759 heartbeat IPC: 0.69550 cumulative IPC: 0.55753 (Simulation time: 0 hr 16 min 1 sec) 
Heartbeat CPU  0 instructions:  137000000 cycles:  190326402 heartbeat IPC: 0.68557 cumulative IPC: 0.55861 (Simulation time: 0 hr 16 min 8 sec) 
Heartbeat CPU  0 instructions:  138000001 cycles:  191952974 heartbeat IPC: 0.61479 cumulative IPC: 0.55913 (Simulation time: 0 hr 16 min 16 sec) 
Heartbeat CPU  0 instructions:  139000002 cycles:  193403669 heartbeat IPC: 0.68933 cumulative IPC: 0.56020 (Simulation time: 0 hr 16 min 23 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:  194714072 heartbeat IPC: 0.76312 cumulative IPC: 0.56169 (Simulation time: 0 hr 16 min 30 sec) 
Finished CPU 0 instructions: 100000001 cycles: 178033371 cumulative IPC: 0.56169 (Simulation time: 0 hr 16 min 30 sec) 

ChampSim completed all CPUs

[ROI Statistics]
Core_0_instructions 100000001
Core_0_cycles 178033371
Core_0_IPC 0.56169

Core_0_branch_prediction_accuracy 98.50373
Core_0_branch_MPKI 0.20159
Core_0_average_ROB_occupancy_at_mispredict 240.28255

Core_0_L1D_total_access 25733129
Core_0_L1D_total_hit 20533370
Core_0_L1D_total_miss 5199759
Core_0_L1D_loads 9707626
Core_0_L1D_load_hit 8919663
Core_0_L1D_load_miss 787963
Core_0_L1D_RFOs 16025503
Core_0_L1D_RFO_hit 11613707
Core_0_L1D_RFO_miss 4411796
Core_0_L1D_prefetches 0
Core_0_L1D_prefetch_hit 0
Core_0_L1D_prefetch_miss 0
Core_0_L1D_writebacks 0
Core_0_L1D_writeback_hit 0
Core_0_L1D_writeback_miss 0
Core_0_L1D_prefetch_requested 0
Core_0_L1D_prefetch_dropped 0
Core_0_L1D_prefetch_issued 0
Core_0_L1D_prefetch_filled 0
Core_0_L1D_prefetch_useful 0
Core_0_L1D_prefetch_useless 0
Core_0_L1D_prefetch_late 0
Core_0_L1D_average_miss_latency 461.74275

Core_0_L1D_rq_access 21837365
Core_0_L1D_rq_forward 0
Core_0_L1D_rq_merged 11576165
Core_0_L1D_rq_to_cache 9854716
Core_0_L1D_rq_full 0

